,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
178,No,No,Wonderful,Sabayil,70.0,64,Bayil Breeze Hotel & Restaurant,Large Double Room,2.6,40.34018472008257,49.81870865057885
179,No,Yes,,Other,150.0,,Buzovna Delmar Residence,One-Bedroom Apartment,9.7,,
180,No,Yes,,Sabayil,104.0,,Real Nizami Street Apartment,Two-Bedroom Apartment,0.6,40.34018472008257,49.81870865057885
181,No,Yes,Score under 7,Sabayil,82.0,3,ONE BEDROOM APARTMENT BY HILTON Near By bulivar #Fountain Square #NizamiStreet #McDonald,Two-Bedroom Apartment,1.2,40.34018472008257,49.81870865057885
182,Yes,No,Very Good,Other,99.0,34,BS Hotel,Deluxe Double Studio,3.1,,
183,No,Yes,Very Good,Other,75.0,31,City Apartments,Standard Apartment,,,
184,No,Yes,,Other,110.0,,Abmasador Apartment,Apartment,3.3,,
185,No,No,Exceptional,Sabayil,288.0,1,VIP Apartment PANAMERA,Apartment,0.35,40.34018472008257,49.81870865057885
186,No,Yes,Wonderful,Yasamal,40.0,9,Baku Butik Mini-Hotel,Triple Room with Shared Bathroom,3.6,40.37910692339686,49.809651649057464
187,No,Yes,Wonderful,Other,230.0,14,Park Azure apartment by Baku Housing,Deluxe Apartment,3.4,,
188,No,Yes,,Nasimi,100.0,,Apartment on Shimarik - Targovi Konsul,Apartment,0.2,40.39482299502607,49.82684828968684
189,No,Yes,,Yasamal,70.0,,"""METROPOL"" APARTMENT HOTEL",Apartment,1.8,40.37910692339686,49.809651649057464
190,Yes,Yes,Very Good,Sabayil,35.0,83,My Bed,Standard Single Room,2.4,40.34018472008257,49.81870865057885
191,No,Yes,,Nasimi,219.0,,Baku Park View 15 luxury Home,Two-Bedroom Apartment,0.9,40.39482299502607,49.82684828968684
192,No,Yes,,Other,128.0,,red vılla bakı,Two-Bedroom Villa,1.2,,
193,No,Yes,Exceptional,Nasimi,238.0,6,Luxary Apartments,Three-Bedroom Apartment,0.2,40.39482299502607,49.82684828968684
194,No,Yes,Exceptional,Other,150.0,3,Megafun Luxury Family Apartment,Two-Bedroom Apartment,3.3,,
195,No,Yes,Score under 7,Sabayil,65.0,1,Fountain Square Baku,One-Bedroom Apartment,0.1,40.34018472008257,49.81870865057885
196,No,Yes,Exceptional,Nasimi,130.0,1,VIP APARTMENT IN BULVARr,Apartment with Balcony,1.4,40.39482299502607,49.82684828968684
197,No,Yes,,Nasimi,170.0,,Delux Apartment Mc Donalds,Apartment with Sea View,0.2,40.39482299502607,49.82684828968684
198,No,No,Exceptional,Sabayil,84.0,3,Azneft Garden Apartment,Two-Bedroom Apartment,,40.34018472008257,49.81870865057885
199,Yes,No,Very Good,Other,95.0,176,Rich Hotel,Standard King Room,6.6,,
200,Yes,Yes,Excellent,Nasimi,140.0,27,Callisto Hotel,Standard Single Room,1.1,40.39482299502607,49.82684828968684
201,Yes,Yes,Score under 7,Other,54.0,19,Paradise Hotel Baku,Budget Double Room,4.8,,
202,Yes,Yes,Excellent,Other,50.0,30,Capitol Hotel,Standard Single Room,3.7,,
203,No,Yes,Excellent,Other,270.0,22,Panorama Villa Lux Hotel,Comfort Villa,8.1,,
204,Yes,No,Good,White City,55.0,45,Days Hotel By Wyndham Baku,Twin Room - Non-Smoking,4.8,40.38191540820948,49.88996746617085
205,No,No,Very Good,Sabayil,49.0,2,Qala Stone Hotel,Budget Single Room,0.7,40.34018472008257,49.81870865057885
206,Yes,No,Excellent,Sabayil,,106,Da Vinci Hotel,Single Standard,0.8,40.34018472008257,49.81870865057885
207,No,Yes,Very Good,Sabayil,150.0,4,Vip Apartamen Nizami Street,Two-Bedroom Apartment,0.25,40.34018472008257,49.81870865057885
208,No,No,Excellent,Yasamal,32.0,39,Soprano Butik Hotel,Single Room with Balcony,2.7,40.37910692339686,49.809651649057464
209,No,Yes,,Other,20.0,,House-appartment,One-Bedroom House,4.3,,
210,Yes,No,Good,Other,115.0,128,Piano Hotel Baku,Budget Double Room,4.7,,
211,No,Yes,,Nasimi,130.0,,Apartment On MADO,Deluxe Apartment,0.7,40.39482299502607,49.82684828968684
212,Yes,No,Good,Sabayil,40.0,55,Town Gates Hotel,Standard Single Room,0.7,40.34018472008257,49.81870865057885
213,No,Yes,,Nasimi,55.0,,Apartments Rashid Beybutov,One-Bedroom Apartment,,40.39482299502607,49.82684828968684
214,No,No,Good,Sabayil,162.0,3,Luxary Apartments Hillton,Apartment,0.7,40.34018472008257,49.81870865057885
215,No,No,Wonderful,Sabayil,65.0,5,Lovely 1-bedroom flat with view of Flame Towers,One-Bedroom Apartment,1.2,40.34018472008257,49.81870865057885
216,No,Yes,,Other,62.0,,Lovely studio washer and dryer inside,One-Bedroom Apartment,2.6,,
217,No,Yes,,Nasimi,144.0,,luks 3 rooms,Two-Bedroom Apartment,0.5,40.39482299502607,49.82684828968684
218,No,Yes,,Other,96.0,,Sea Breeze Park residence studio,One-Bedroom Apartment,7.3,,
219,No,Yes,Exceptional,Other,122.0,15,Amazing apartment in city center by Baku Housing,One-Bedroom Apartment,3.1,,
220,No,Yes,,Yasamal,80.0,,Apartament vozle caspian biznes centr,Three-Bedroom Apartment,1.6,40.37910692339686,49.809651649057464
221,No,Yes,Exceptional,Other,138.0,3,Sahil Luxury Apartment,Apartment,3.2,,
222,No,No,Exceptional,Sabayil,155.0,3,Crown Deluxe Apartment on Nizami Street,Deluxe Apartment,0.6,40.34018472008257,49.81870865057885
223,No,Yes,,Nasimi,126.0,,Nizami Apartment,Apartment,0.6,40.39482299502607,49.82684828968684
224,No,Yes,Exceptional,Nasimi,180.0,1,apartament naxcivani street,Three-Bedroom Apartment,1.6,40.39482299502607,49.82684828968684
225,No,Yes,,Yasamal,149.0,,Apartment nizami street 1 bedrooms,Two-Bedroom Apartment,0.25,40.37910692339686,49.809651649057464
226,No,Yes,Exceptional,Other,40.0,4,Home,Two-Bedroom House,7.6,,
