,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
892,Yes,Yes,Exceptional,Other,53.0,65,Georgian Hosts Tbilisi,Budget Double Room,2.5,,
893,No,Yes,,Other,65.0,,kvartira,One-Bedroom Apartment,6.2,,
894,No,Yes,Exceptional,Other,51.0,57,Eco-House Tbilisi,Twin Room with Garden View,3.1,,
895,No,No,Very Good,Other,51.0,377,Hotel Kavela,Standard Double Room,4.2,,
896,No,No,Wonderful,Mtatsminda,88.0,162,3 Rooms Hotel,Double Room,0.6,41.693060457156996,44.78551384334914
897,No,Yes,Wonderful,Saburtalo,80.0,36,Tbilisi Apartment Tennis court,King Studio with Sofa Bed,3.7,41.72222376354178,44.746048306010806
898,No,Yes,Very Good,Mtatsminda,44.0,87,Fifth Element,Twin Room,,41.693060457156996,44.78551384334914
899,No,Yes,Wonderful,Old Tbilisi,72.0,59,Heyvany,Budget Double Room,1.9,41.69209658252052,44.79406059228808
900,No,Yes,Very Good,Old Tbilisi,102.0,332,Hotel Aivani Old Tbilisi,Economy Double Room,0.9,41.69209658252052,44.79406059228808
901,No,Yes,Excellent,Other,113.0,170,Elia Palace Hotel,Deluxe Double or Twin Room with Balcony,1.8,,
902,Yes,No,Exceptional,Chugureti,204.0,106,Marjan Plaza Hotel,Budget Twin Room,1.7,41.72340168819495,44.82088685166248
903,No,Yes,Wonderful,Old Tbilisi,53.0,35,Sunny Apartments,One-Bedroom Apartment,1.2,41.69209658252052,44.79406059228808
904,No,Yes,Exceptional,Other,31.0,57,Tbilisi guesthouse Nini,Triple Room,2.9,,
905,Yes,No,Excellent,Other,192.0,2408,Hotel Tbilisi Tower,Deluxe Single Room,9.5,,
906,No,No,Exceptional,Old Tbilisi,45.0,29,Aquarium,One-Bedroom Apartment,0.5,41.69209658252052,44.79406059228808
907,No,Yes,Exceptional,Old Tbilisi,395.0,135,Luxury Duplex Studios - City Center,Duplex Studio,0.15,41.69209658252052,44.79406059228808
908,No,Yes,Exceptional,Chugureti,70.0,18,Gios House,One-Bedroom Apartment,1.1,41.72340168819495,44.82088685166248
909,Yes,No,Good,Old Tbilisi,75.0,254,Hotel Vita,Budget Double Room,,41.69209658252052,44.79406059228808
910,No,Yes,Wonderful,Old Tbilisi,63.0,68,Apartment Botanikuri 15,Deluxe Double Room,0.9,41.69209658252052,44.79406059228808
911,Yes,No,Very Good,Other,76.0,63,Grand GMP,Double Room - Disability Access,4.1,,
912,Yes,No,Very Good,Chugureti,112.0,119,City Avenue Hotel,Classic Double Room,2.4,41.72340168819495,44.82088685166248
913,No,No,Very Good,Old Tbilisi,152.0,531,Citadines City Centre Tbilisi Apart`hotel,Studio Classic,0.1,41.69209658252052,44.79406059228808
914,No,Yes,Exceptional,Old Tbilisi,75.0,99,Rezis sweet home,One-Bedroom Apartment,0.15,41.69209658252052,44.79406059228808
915,No,Yes,Exceptional,Other,47.0,29,Guest House Eden,Twin Room with Extra Bed,3.7,,
916,No,No,Excellent,Old Tbilisi,67.0,438,Hotel Tato,Standard King Room,1.5,41.69209658252052,44.79406059228808
917,No,Yes,Wonderful,Didube,63.0,10,City Center Apartment,One-Bedroom Apartment,3.6,41.750520159335146,44.7815007925187
